쇼핑 하고 싶다, 37, 1, 5, 7, 36, 6, 49, 8, 48, 6, 54, 8, 29, 3, 28, 6, 10, 6, 53, 7
쇼핑몰 가고 싶다, 53, 7, 28, 7, 50, 3, 37, 1, 36, 4, 46, 5, 47, 8, 5, 8, 29, 7, 45, 7
정장을 사고 싶다, 45, 7, 37, 1, 36, 5, 55, 8, 8, 9, 46, 3, 52, 6, 5, 6, 49, 8, 54, 9
매니아적인 굿즈를 사고 싶다, 37, 1, 36, 3, 56, 6, 49, 7, 9, 5, 28, 8, 34, 6, 50, 6, 52, 5, 54, 7
책이 사고 싶다, 37, 1, 36, 2, 48, 7, 65, 2, 10, 2, 54, 3, 52, 3, 53, 3, 50, 1, 49, 7
유명한 백화점은 어디인가요, 37, 1, 28, 3, 54, 9, 5, 8, 49, 7, 48, 6, 52, 3, 34, 1, 55, 2, 29, 5
한국 골동품을 살 수 있는 것은 어디야, 50, 8, 45, 2, 37, 1, 46, 9, 5, 3, 55, 2, 29, 3, 47, 3, 65, 7, 34, 3
젊은이들이 많이 찾는 쇼핑몰은, 48, 9, 28, 8, 53, 7, 34, 3, 55, 6, 47, 7, 56, 2, 65, 3, 9, 5, 50, 2
쇼핑몰이 몰려 있는 곳은, 53, 8, 28, 8, 65, 5, 48, 7, 47, 9, 54, 7, 29, 3, 34, 3, 10, 1, 8, 8
면세점을 가고 싶어, 50, 1, 37, 1, 46, 3, 36, 3, 29, 6, 49, 6, 5, 9, 28, 5, 34, 3, 53, 1
패션 용품을 살 수 있는 곳은, 45, 7, 55, 7, 29, 3, 9, 4, 47, 8, 53, 9, 65, 4, 48, 7, 54, 9, 34, 1
기념품을 사고 싶어, 5, 7, 37, 1, 36, 2, 29, 6, 49, 3, 34, 2, 50, 7, 45, 4, 55, 5, 8, 7
한국의 기념품을 살 곳을 알려줘, 5, 7, 45, 3, 29, 6, 55, 1, 37, 1, 54, 6, 48, 6, 65, 7, 8, 9, 46, 10
의류를 저렴하게 살 수 이는 곳은 어디야, 48, 8, 45, 6, 50, 4, 10, 1, 37, 1, 29, 6, 55, 8, 47, 10, 9, 8, 65, 6
침구류를 살 수 있는 곳을 알려줘, 45, 7, 55, 8, 29, 4, 54, 2, 48, 6, 65, 4, 56, 1, 8, 8, 46, 2, 10, 0
패션에 관한 물건을 많이 볼 수 있는 곳은 어딜까, 48, 9, 50, 3, 55, 7, 9, 2, 47, 9, 53, 45, 3, 65, 2, 54, 8, 29, 3
쇼핑몰이 몰려 있는 곳은, 53, 8, 28, 8, 65, 3, 48, 2, 47, 7, 54, 6, 29, 3, 34, 2, 10, 1, 8, 9
싸고 저렴한 시장을 알려줘, 55, 7, 47, 8, 45, 6, 56, 3, 9, 8, 34, 7, 36, 6, 5, 6, 28, 6, 37, 1
한국의 대표적인 시장이 어디야, 37, 8, 50, 6, 52, 2, 5, 5, 48, 6, 46, 6, 45, 4, 49, 6, 56, 7, 9, 10
생활용품을 살 수 있는 곳은, 45, 6, 9, 9, 55, 6, 29, 3, 65, 7, 48, 3, 54, 2, 34, 7, 8, 3, 46, 3
생필품을 사고 싶어, 37, 1, 36, 6, 29, 2, 49, 2, 34, 6, 50, 7, 45, 6, 55, 3, 8, 9, 53, 5
