영화관에서 영화를 보고 싶다, 6, 7, 91, 3, 77, 4, 70, 3, 99, 4, 97, 4, 88, 3, 90, 2, 94, 1, 96, 1
웃기는 개그쇼나 연극을 보고 싶다, 91, 3, 88, 3, 93, 2, 92, 4, 8, 2, 90, 2, 89, 1, 99, 7, 6, 10, 27, 9
언더그라운드 밴드 공연을 보고 싶다, 6, 10, 76, 7, 77, 3, 70, 4, 91, 3, 8, 2, 88, 4, 93, 4, 92, 2, 90, 1
음악을 듣고 싶다, 59, 10, 93, 2, 94, 1, 6, 7, 91, 3, 88, 3, 70, 8, 100, 2, 95, 8, 92, 3
라이브 쇼를 보고 싶다, 6, 6, 70, 8, 99, 2, 90, 1, 94, 1, 96,  2, 97, 3, 88, 1, 93, 2, 89, 1
콘서트에 가고 싶다, 76, 10, 27, 5, 70, 9, 95, 8, 93, 2, 88, 1, 100, 1, 91, 2, 89, 2, 31, 3
콘서트를 보고 싶다, 76, 10, 99, 2, 90, 3, 94, 2, 96, 1, 97, 3, 88, 2, 93, 4, 89, 3, 92, 1
신나는 공연을 보고 싶어, 76, 9, 77, 100, 70, 100, 89, 3, 94, 2, 91, 1, 100, 2, 8, 1, 90, 1, 92, 1
연극을 보고 싶어, 89, 2, 94, 3, 91, 2, 100, 1, 90, 2, 92, 1, 95, 1, 97, 3, 8, 4, 6, 5
한국에서 요즘 유명한 공연은, 77, 8, 6, 9, 70, 8, 76, 6, 97, 2, 88, 1, 98, 1, 95, 2, 100, 2, 91, 1
미술관에 가보고 싶다, 93, 1, 27, 2, 92, 8, 97, 7, 90, 3, 94, 2, 91, 9, 31, 7, 70, 1, 95, 5
아름다운 미술품을 직접 볼 수 있을까, 97, 8, 99, 2, 96, 4, 70, 3, 91, 7, 89, 5, 93, 2, 90, 1, 100, 10, 88, 3
라이브 연주를 직접 보고 들을 수 있는 곳은, 99, 3, 94, 2, 6, 8, 92, 2, 76, 8, 96, 5, 70, 6, 91, 2, 89, 3, 93, 1
예술공연을 보고 싶다, 95, 8, 76, 7, 6, 5, 77, 6, 70, 6, 91, 3, 89, 2, 8, 1, 88, 2, 93, 2
영화관에 가고 싶어, 27, 7, 91, 2, 6, 7, 100, 1, 95, 3, 70, 2, 89, 1, 94, 1, 93, 2, 88, 1
패션쇼를 볼 수 있을까, 8, 7, 99, 2, 90, 3, 96, 2, 89, 3, 94, 2, 91, 6, 93, 2, 100, 10, 59, 5
패션쇼나 연극과 같은 다양한 공연을 볼 수 있는 곳은, 8, 5, 77, 7, 76, 6, 70, 8, 92, 4, 99, 5, 89, 4, 91, 3, 95, 7, 93, 2
다양한 행사가 펼쳐지는 문화 공간은, 76, 7, 95, 8, 94, 1, 96, 2, 8, 5, 88, 3, 101, 9, 70, 7, 97, 3, 92, 4
한국의 클럽문화를 맛보고 싶어, 59, 10, 88, 2, 100, 1, 94, 1, 95, 2, 97, 2, 89, 2, 98, 1, 99, 3, 101, 8
젊은이들이 모이고 음악 연주를 들을 수 있는 곳은, 59, 10, 94, 1, 92, 2, 76, 7, 99, 1, 6, 8, 101, 8, 91, 2, 93, 2, 89, 1
한국의 대표공연이 뭐야, 70, 10, 8, 5, 77, 9, 76, 5, 93, 4, 101, 7, 6, 3, 97, 4, 98, 2, 88, 1
사물놀이 하는걸 보고 싶어, 70, 10, 89, 1, 94, 3, 100, 1, 90, 2, 95, 6, 97, 2, 6, 4, 8, 2, 27, 6
밀납인형 박물관이 있다면서, 88, 1, 101, 3, 96, 2, 98, 1, 89, 3, 93, 10, 94, 2, 100, 1, 97, 2, 90, 1
